priority,category,file_or_source,message,evidence,recommended_action
0,duplicate_match,https://developer.sprint.paymentology.com/card-api/secure-cards/,Published WordPress page matched multiple ReadMe candidates: Secure cards,"Multiple ReadMe candidates: docs/card-api/secure-cards-1/index.md, docs/companion-api/secure-cards/index.md",Choose the canonical ReadMe destination and update matching data.
0,duplicate_match,https://developer.sprint.paymentology.com/qr-payments-api/reports/,Published WordPress page matched multiple ReadMe candidates: Reports,"Multiple ReadMe candidates: docs/card-api/reports/index.md, docs/companion-api/reports/index.md",Choose the canonical ReadMe destination and update matching data.
0,missing_asset,docs/card-api/disputes.md,Referenced local asset is missing from the repository.,../../assets/Dispute-Resolution-Form-Fraud.docx,Restore the asset or update the page to a valid asset path.
0,missing_asset,docs/card-api/disputes.md,Referenced local asset is missing from the repository.,../../assets/Dispute-Resolution-Form.docx,Restore the asset or update the page to a valid asset path.
0,missing_asset,docs/card-api/disputes.md,Referenced local asset is missing from the repository.,../../assets/Visa-Generic-Dispute-Form.docx,Restore the asset or update the page to a valid asset path.
0,missing_page,https://developer.sprint.paymentology.com/card-api/,Published WordPress page has no ReadMe match: Card API,"No ReadMe candidate matched URL path, slug, filename, or title.",Create or map the equivalent ReadMe page.
0,missing_page,https://developer.sprint.paymentology.com/chargeback-api/,Published WordPress page has no ReadMe match: Chargeback API,"No ReadMe candidate matched URL path, slug, filename, or title.",Create or map the equivalent ReadMe page.
0,missing_page,https://developer.sprint.paymentology.com/companion-api/,Published WordPress page has no ReadMe match: Companion API,"No ReadMe candidate matched URL path, slug, filename, or title.",Create or map the equivalent ReadMe page.
0,missing_page,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/,Published WordPress page has no ReadMe match: Remote,"No ReadMe candidate matched URL path, slug, filename, or title.",Create or map the equivalent ReadMe page.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/companion-api/api-reference/remote/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/card-api/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2022/11/Companion-API-Physical-Card-test-script.xlsx,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2022/11/Companion-API-Virtual-Card-test-script.xlsx,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2022/11/Card-API-Physical-Card-test-script.xlsx,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/client-testing-guide.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2022/11/Card-API-Virtual-Card-test-script.xlsx,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/our-apis.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/companion-api/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/Getting Started/our-apis.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/card-api/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/api-reference-card/index.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/card-api/togglevoucherfeature/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/api-reference-card/index.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/card-api/transferlink/,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-monthly-declines-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2024/01/CampaignName_ApplePay-Declines-Report-MONTH-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-monthly-fee-billing-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_ApplePay-Monthly-Fee-Billing-Report-Month-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-monthly-metric-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_ApplePay-Monthly-Metric-Report-Month-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-monthly-top-merchant-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_ApplePay-Top-Merchant-Report-MMM-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-monthly-usage-frequency-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_ApplePay-Monthly-Frequency-Report-Month-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/apple-pay-quarterly-fee-billing-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_ApplePay-Quarterly-Fee-Billing-Report-Month-YYYY.xls,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/daily-sales-and-redemption-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2024/02/CampaignName_DailySalesRedmeptionStatement-YYYY-MM-DD.csv,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/daily-statement-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignName_Statement_YYYYMMDD.csv,Map the target page or keep the link only with an explicit launch waiver.
0,unmapped_legacy_link,docs/card-api/reports/detailed-settlement-report.md,Legacy WordPress link has no mapped ReadMe target.,https://developer.sprint.paymentology.com/wp-content/uploads/2023/12/CampaignNameDailySettlementsYYYYMMDD-1.csv,Map the target page or keep the link only with an explicit launch waiver.
